Player,Pos,G,GS,MP,FG,FG%,3P,3P%,2P,2P%,eFG%,FT,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,BPM
Denzel Valentine,SF,36,5,13.6,2.7,0.409,1.3,0.336,1.4,0.51,0.506,0.2,0.75,0.3,1.8,2.1,1.2,0.7,0.2,0.7,1.4,6.8,-0.6
Jarred Vanderbilt,SF-PF,11,0,4.2,0.5,0.625,0.0,0.0,0.5,0.7140000000000001,0.625,0.2,1.0,0.3,0.5,0.8,0.2,0.3,0.1,0.6,0.5,1.1,-6.0
Fred VanVleet,PG,54,54,35.7,5.9,0.413,2.7,0.39,3.2,0.434,0.507,3.1,0.848,0.3,3.4,3.8,6.6,1.9,0.3,2.2,2.4,17.6,2.7
Gabe Vincent,PG,9,0,9.2,0.9,0.21600000000000003,0.7,0.222,0.2,0.2,0.297,0.0,,0.0,0.6,0.6,0.7,0.6,0.0,0.1,0.7,2.4,-10.4
Noah Vonleh,C-PF,36,1,10.5,1.4,0.565,0.1,0.2,1.4,0.636,0.5820000000000001,0.7,0.7809999999999999,1.0,2.4,3.4,0.8,0.3,0.2,0.6,1.1,3.7,-1.0
Nikola Vučević,C,62,62,32.2,8.0,0.47700000000000004,1.6,0.33899999999999997,6.4,0.531,0.525,2.1,0.784,2.3,8.6,10.9,3.6,0.9,0.8,1.4,2.2,19.6,4.2
Dean Wade,PF,12,0,5.9,0.8,0.6920000000000001,0.2,0.5,0.6,0.778,0.769,0.0,0.0,0.3,1.3,1.6,0.2,0.2,0.3,0.3,0.7,1.7,-1.2
Moritz Wagner,C,45,5,18.6,3.2,0.545,0.6,0.313,2.7,0.645,0.5920000000000001,1.7,0.821,1.2,3.6,4.9,1.2,0.6,0.4,1.5,3.4,8.7,-2.3
Dion Waiters,SG,10,0,20.7,4.1,0.414,1.5,0.319,2.6,0.5,0.49,1.4,0.8240000000000001,0.2,2.2,2.4,2.0,0.4,0.6,1.6,2.1,11.1,-1.2
Kemba Walker,PG,56,56,31.1,6.8,0.425,3.2,0.381,3.5,0.47600000000000003,0.526,3.7,0.8640000000000001,0.6,3.2,3.9,4.8,0.9,0.5,2.1,1.6,20.4,4.6
Lonnie Walker,SG,61,12,16.2,2.5,0.426,0.7,0.406,1.8,0.434,0.483,0.7,0.721,0.4,1.9,2.3,1.1,0.5,0.2,0.7,1.3,6.4,-3.5
Tyrone Wallace,SG,14,0,11.4,1.0,0.318,0.1,0.067,0.9,0.44799999999999995,0.33,0.8,0.647,0.2,1.4,1.6,0.9,0.5,0.1,0.7,1.4,2.9,-8.7
